snapshot_date,center_id,sku,available_stock,reserved_stock
2024-05-20,CASABLANCA,SKU_00001,214,14
2024-05-20,CASABLANCA,SKU_00002,243,44
2024-05-20,CASABLANCA,SKU_00003,267,9
2024-05-20,CASABLANCA,SKU_00004,402,13
2024-05-20,CASABLANCA,SKU_00005,184,42
2024-05-20,CASABLANCA,SKU_00006,330,47
2024-05-20,CASABLANCA,SKU_00007,137,47
2024-05-20,CASABLANCA,SKU_00008,352,21
2024-05-20,CASABLANCA,SKU_00009,379,49
2024-05-20,CASABLANCA,SKU_00010,371,42
2024-05-20,CASABLANCA,SKU_00011,436,10
2024-05-20,CASABLANCA,SKU_00012,435,33
2024-05-20,CASABLANCA,SKU_00013,202,3
2024-05-20,CASABLANCA,SKU_00014,107,27
2024-05-20,CASABLANCA,SKU_00015,195,4
2024-05-20,CASABLANCA,SKU_00016,54,33
2024-05-20,CASABLANCA,SKU_00017,151,27
2024-05-20,CASABLANCA,SKU_00018,377,6
2024-05-20,CASABLANCA,SKU_00019,80,4
2024-05-20,CASABLANCA,SKU_00020,405,3
2024-05-20,CASABLANCA,SKU_00021,268,26
2024-05-20,CASABLANCA,SKU_00022,359,45
2024-05-20,CASABLANCA,SKU_00023,112,7
2024-05-20,CASABLANCA,SKU_00024,160,12
2024-05-20,CASABLANCA,SKU_00025,369,10
2024-05-20,CASABLANCA,SKU_00026,329,11
2024-05-20,CASABLANCA,SKU_00027,320,32
2024-05-20,CASABLANCA,SKU_00028,397,25
2024-05-20,CASABLANCA,SKU_00029,118,28
2024-05-20,CASABLANCA,SKU_00030,194,47
2024-05-20,CASABLANCA,SKU_00031,394,49
2024-05-20,CASABLANCA,SKU_00032,349,2
2024-05-20,CASABLANCA,SKU_00033,469,33
2024-05-20,CASABLANCA,SKU_00034,414,14
2024-05-20,CASABLANCA,SKU_00035,76,42
2024-05-20,CASABLANCA,SKU_00036,153,36
2024-05-20,CASABLANCA,SKU_00037,212,13
2024-05-20,CASABLANCA,SKU_00038,380,27
2024-05-20,CASABLANCA,SKU_00039,145,8
2024-05-20,CASABLANCA,SKU_00040,153,48
2024-05-20,CASABLANCA,SKU_00041,449,36
2024-05-20,CASABLANCA,SKU_00042,454,48
2024-05-20,CASABLANCA,SKU_00043,362,10
2024-05-20,CASABLANCA,SKU_00044,404,5
2024-05-20,CASABLANCA,SKU_00045,129,17
2024-05-20,CASABLANCA,SKU_00046,359,17
2024-05-20,CASABLANCA,SKU_00047,370,3
2024-05-20,CASABLANCA,SKU_00048,287,6
2024-05-20,CASABLANCA,SKU_00049,64,45
2024-05-20,CASABLANCA,SKU_00050,356,44
2024-05-20,CASABLANCA,SKU_00051,339,4
2024-05-20,CASABLANCA,SKU_00052,177,31
2024-05-20,CASABLANCA,SKU_00053,68,23
2024-05-20,CASABLANCA,SKU_00054,81,43
2024-05-20,CASABLANCA,SKU_00055,492,21
2024-05-20,CASABLANCA,SKU_00056,201,43
2024-05-20,CASABLANCA,SKU_00057,480,13
2024-05-20,CASABLANCA,SKU_00058,169,3
2024-05-20,CASABLANCA,SKU_00059,131,46
2024-05-20,CASABLANCA,SKU_00060,184,0
2024-05-20,CASABLANCA,SKU_00061,274,2
2024-05-20,CASABLANCA,SKU_00062,69,5
2024-05-20,CASABLANCA,SKU_00063,106,33
2024-05-20,CASABLANCA,SKU_00064,498,25
